OrderId,TransactionId,DateOfService,DateOfOrder,OrderQty,MenuName,MenuPrice,MenuSubsidy,BookingNr,GroupName,CanceledQty,DateOfCancel,Site,SchoolID
11285169,36599770d7064428b20b66ece0067591,2020-01-02,2019-12-16 10:34:06,1,Smart Eating Buffet (WGrus),"2,90","0,60",248-136331680,Westerkappeln Grundschüler Abo,0,,BK,SCH002
11285172,151c463dde254077bff0ba23c0b57475,2020-01-02,2019-12-16 10:34:15,1,Smart Eating Buffet (WGrus),"2,90","0,60",248-88162285,Westerkappeln Grundschüler Abo,0,,BK,SCH002
11544656,2502428bc54d479e9d8f1eee32075985,2020-01-02,2020-02-07 10:11:50,1,Mittagessen (Gs),"3,10","0,00",349-119217460,"xxx3,45€ normal 5T (68€)",0,,LP,SCH001
11284959,e515107438d147099d90b0d974f780de,2020-01-02,2019-12-16 07:52:57,1,Smart Eating Buffet (WGrus),"0,00","3,50",248-89265588,Steinfurt Abo ermäßigt,0,,BK,SCH002
11284963,d44d8bf384d140d8a97af3196ad46ee1,2020-01-02,2019-12-16 07:53:02,1,Smart Eating Buffet (WGrus),"0,00","3,50",248-89264586,Steinfurt Abo ermäßigt,0,,BK,SCH002
11284966,14f7e4da5cd5429b8ff9aea86288cade,2020-01-02,2019-12-16 07:53:05,1,Smart Eating Buffet (WGrus),"0,00","3,50",248-136313652,Steinfurt Abo ermäßigt,0,,BK,SCH002
11553619,cbe802f907404d5fa058f6121bfc3818,2020-01-02,2020-02-12 11:59:55,1,Mittagessen (Gs),"3,10","0,00",349-120225463,"xxx3,45€ normal 5T (68€)",0,,LP,SCH001
11310681,eb15c22a465c4d6da9922e214e00c901,2020-01-02,2019-12-31 09:55:56,1,Mittagessen (BS),"3,05","0,00",474-136038078,Bad Sassendorf,0,,LP,SCH003
11513210,868207354d6a45569b58db02767639e5,2020-01-02,2020-02-03 10:18:20,1,Mittagessen (Gs),"3,10","0,00",349-129760552,"xxx3,45€ normal 5T (68€)",0,,LP,SCH001
11285175,9c29d028a80e44d1af2aad7d4f4d2522,2020-01-02,2019-12-16 10:34:41,1,Smart Eating Buffet (WGrus),"2,90","0,60",248-119059144,Westerkappeln Grundschüler Abo,0,,BK,SCH002
11285178,184de687c9514fc6b11c0d6f2ff7c630,2020-01-02,2019-12-16 10:34:51,0,Smart Eating Buffet (WGrus),"2,90","0,60",248-136329684,Westerkappeln Grundschüler Abo,1,2020-01-02 07:42:07,BK,SCH002
11285181,0cf5b7a0b8284c49833f3525538ec63f,2020-01-02,2019-12-16 10:35:06,1,Smart Eating Buffet (WGrus),"2,90","0,60",248-118338704,Westerkappeln Grundschüler Abo,0,,BK,SCH002
11513238,886d2070f36b423fa39ea88a9d2a6018,2020-01-02,2020-02-03 10:18:28,1,Mittagessen (Gs),"3,10","0,00",349-117218462,"xxx3,45€ normal 3T (42€)",0,,LP,SCH001
11519245,eddf74bb40f44f40a4b0bafc9e4dd772,2020-01-02,2020-02-05 11:55:15,1,Mittagessen (Gs),"3,10","0,00",349-89317548,"xxx3,45€ normal 3T (42€)",0,,LP,SCH001
11285184,95957c0a07db44909da7cd20cf953626,2020-01-02,2019-12-16 10:35:30,1,Smart Eating Buffet (WGrus),"2,90","0,60",248-136330678,Westerkappeln Grundschüler Abo,0,,BK,SCH002
11528278,a5db68126c124a3f986fac15dfc7eada,2020-01-02,2020-02-05 16:03:58,1,Mittagessen (Gs),"2,95","0,00",349-129261537,"xxx3,40€ normal 5T (68€)",0,,LP,SCH001
11528297,82633530fd894d66a06182fa11b4a17e,2020-01-02,2020-02-05 16:04:03,1,Mittagessen (Gs),"2,95","0,00",349-129259541,"xxx3,40€ normal 5T (68€)",0,,LP,SCH001
11192128,0530bffd81f54aa19d6fb982958ceaad,2020-01-02,2019-12-10 14:52:14,1,Mittagessen (BS),"3,05","0,00",474-136049124,Bad Sassendorf,0,,LP,SCH003
11310944,98fdfb1f69cd4789adae27e1325fb92d,2020-01-02,2020-01-01 12:40:31,1,Mittagessen (BS),"3,05","0,00",474-136061132,Bad Sassendorf,0,,LP,SCH003
11279845,ef5f36626e744dab98ec23b70d19ae45,2020-01-02,2019-12-14 04:52:48,1,Mittagessen (BS),"0,00","3,05",474-136050118,"Bad Sassendorf ermäßigt (E,P)",0,,LP,SCH003
11519275,475f9e07089b43cc95bb4fa7fc8a4d21,2020-01-02,2020-02-05 11:55:22,1,Mittagessen (Gs),"3,10","0,00",349-129398803,"xxx3,45€ normal 2T (28€)",0,,LP,SCH001
11519286,144e3fc5fba041b184def279d635b771,2020-01-02,2020-02-05 11:55:25,1,Mittagessen (Gs),"3,10","0,00",349-92240445,"xxx3,45€ normal 4T (56€)",0,,LP,SCH001
11528362,3d5874efd3ef4174bd11d6705a4b5030,2020-01-02,2020-02-05 16:04:18,1,Mittagessen (Gs),"2,95","0,00",349-117156322,"xxx3,40€ normal 5T (68€)",0,,LP,SCH001
11544739,1ad60c66bd984112a487b90fc2d66c21,2020-01-02,2020-02-07 10:12:11,1,Mittagessen (Gs),"3,10","0,00",349-119223456,"xxx3,45€ normal 5T (68€)",0,,LP,SCH001
11536928,fb32a72cf65f4bbab86089ce772cfc1c,2020-01-02,2020-02-07 07:37:13,1,Mittagessen (Gs),"3,10","0,00",349-88955840,"xxx3,45€ normal 4T (56€)",0,,LP,SCH001
11528490,61f4654cfd684b7f92d9746d1d3bbbeb,2020-01-02,2020-02-05 16:04:50,1,Mittagessen (Gs),"2,95","0,00",349-117201424,"xxx3,40€ normal 5T (68€)",0,,LP,SCH001
11528476,518e936da1b54f3fbf97159e03009903,2020-01-02,2020-02-05 16:04:46,1,Mittagessen (Gs),"2,95","0,00",349-129635294,"xxx3,40€ normal 5T (68€)",0,,LP,SCH001
11513319,1451353e27644c30baf93b06a106838a,2020-01-02,2020-02-03 10:18:47,1,Mittagessen (Gs),"3,10","0,00",349-129302611,"xxx3,45€ normal 5T (68€)",0,,LP,SCH001
11536942,43dd5a7312a84c65aac6a1e58c53916f,2020-01-02,2020-02-07 07:37:16,1,Mittagessen (Gs),"3,05","0,00",349-138474970,"xx3,05 normal 5T (60)",0,,LP,SCH001
11544808,db0f309ab09b452ba5ed227abc7ea371,2020-01-02,2020-02-07 10:12:26,1,Mittagessen (Gs),"3,10","0,00",349-119225476,"xxx3,45€ normal 4T (56€)",0,,LP,SCH001
11169532,86497dc4e7434b838a335c439325fb65,2020-01-02,2019-12-04 13:27:22,1,Mittagessen (BS),"3,05","0,00",474-136047096,Bad Sassendorf,0,,LP,SCH003
11536963,c95527d8e8904b5f90610540dfb15d9d,2020-01-02,2020-02-07 07:37:21,1,Mittagessen (Gs),"3,10","0,00",349-132868739,"xxx3,45€ normal 5T (68€)",0,,LP,SCH001
11513345,198ef554efa647fcbd34dc33c66d7b73,2020-01-02,2020-02-03 10:18:52,1,Mittagessen (Gs),"3,10","0,00",349-129307637,"xxx3,45€ normal 5T (68€)",0,,LP,SCH001
11528582,5461966a4a2d4304bf1d8826be19bc37,2020-01-02,2020-02-05 16:06:15,1,Mittagessen (Gs),"2,95","0,00",349-88234397,"xxx3,40€ normal 5T (68€)",0,,LP,SCH001
11528562,667a3e6786144af98cd9df9282a69aab,2020-01-02,2020-02-05 16:06:11,1,Mittagessen (Gs),"2,95","0,00",349-138421856,"xxx3,40€ normal 5T (68€)",0,,LP,SCH001
11285194,c53c7a209f3b4f1882b57d0dd3cb54a3,2020-01-02,2019-12-16 10:36:59,1,Smart Eating Buffet (WGrus),"2,90","0,60",248-136321668,Westerkappeln Grundschüler Abo,0,,BK,SCH002
11513388,cca1f2c62c254b3dbc09cf7100bee29e,2020-01-02,2020-02-03 10:19:02,1,Mittagessen (Gs),"3,10","0,00",349-139205426,"xxx3,45€ normal 1T (14€)",0,,LP,SCH001
11544863,ce784e515416415ba69b6cb11c6712f0,2020-01-02,2020-02-07 10:12:39,1,Mittagessen (Gs),"3,10","0,00",349-87654357,"xxx3,45€ normal 5T (68€)",0,,LP,SCH001
11285149,6da74b28ec9a4e769b76894adb404ae2,2020-01-02,2019-12-16 10:31:54,1,Smart Eating Buffet (WGrus),"0,00","3,50",248-127053117,Steinfurt Abo ermäßigt,0,,BK,SCH002
11161800,5fff5813ae674809a06e3b1fe5528fcf,2020-01-02,2019-12-02 20:39:46,1,Mittagessen (BS),"3,05","0,00",474-136052114,Bad Sassendorf,0,,LP,SCH003
11519390,ca69d0e0c43c41feb56ccf1015ef6e1d,2020-01-02,2020-02-05 11:55:51,1,Mittagessen (Gs),"3,10","0,00",349-135714445,"xxx3,45€ normal 5T (68€)",0,,LP,SCH001

